,,,소계,매립시설,기타시설,소계,인건비,차량운영비,장비구입비,위탁처리비,시설관리비,기타
,연수구,"21,511,000",0,0,0,"21,511,000","4,883,809","198,428","479,146","15,514,420",0,"435,197"
,남동구,"42,617,977",0,0,0,"42,617,977","12,018,143","252,166",0,"22,839,440","39,945","7,468,283"
,부평구,"32,681,329",0,0,0,"32,681,329","8,929,417","148,284",0,"21,314,207",0,"2,289,421"
,계양구,"23,873,159",0,0,0,"23,873,159","6,793,885","350,746","719,702","13,139,504","1,760,277","1,109,045"
,서구,"38,825,641",0,0,0,"38,825,641","10,445,701","338,919","1,710,986","23,133,161","1,502,446","1,694,428"
,강화군,"4,401,000",0,0,0,"4,401,000","3,382,000","65,949","457,076","359,000","136,975",0
,옹진군,"3,292,041",0,0,0,"3,292,041","2,368,577","61,000","347,033","485,431","30,000",0
,경제청,0,0,0,0,0,0,0,0,0,0,0
광주,소계,"105,088,583",0,0,0,"105,088,583","59,463,885","3,869,771","2,769,096","16,318,914","2,599,015","20,067,902"
,광주시,"15,063,738",0,0,0,"15,063,738",0,0,0,0,0,"15,063,738"
,동구,"10,672,225",0,0,0,"10,672,225","8,410,361","459,860","236,279",0,"943,396","622,329"
,서구,"15,666,463",0,0,0,"15,666,463","6,655,724","1,239,462",0,"3,797,911",0,"3,973,366"
,남구,"15,036,343",0,0,0,"15,036,343","9,551,189","770,090","997,575","3,635,710","81,779",0
,북구,"20,007,869",0,0,0,"20,007,869","15,193,669","965,770","715,120","3,133,310",0,0
,광산구,"28,641,945",0,0,0,"28,641,945","19,652,942","434,589","820,122","5,751,983","1,573,840","408,469"
대전,소계,"100,225,746","4,462,000","700,000","3,762,000","95,763,746","38,804,586","2,903,099","808,618","48,163,256","2,925,184","2,159,003"
,대전시,"37,509,392","4,462,000","700,000","3,762,000","33,047,392",0,0,0,"32,463,636",0,"583,756"
,동구,"18,894,549",0,0,0,"18,894,549","6,376,495","145,375","50,000","10,938,861","170,000","1,213,818"
,중구,"3,648,820",0,0,0,"3,648,820",0,0,0,"3,464,397",0,"184,423"
,서구,"13,083,133",0,0,0,"13,083,133","10,433,693","699,450","248,275","707,262","817,447","177,006"
,유성구,"13,425,850",0,0,0,"13,425,850","9,890,761","1,592,477","323,925","47,915","1,570,772",0
,대덕구,"13,664,002",0,0,0,"13,664,002","12,103,637","465,797","186,418","541,185","366,965",0
울산,소계,"90,798,832",0,0,0,"90,798,832","23,962,724","820,081","1,202,866","50,958,008","3,846,347","10,008,806"
,울산시,"15,799,314",0,0,0,"15,799,314","6,406,856",0,0,"6,300,761","3,091,697",0
,중구,"11,139,292",0,0,0,"11,139,292","2,880,870","17,736","100,000","7,041,772","146,699","952,215"
,남구,"20,393,977",0,0,0,"20,393,977","491,540","374,844","356,500","15,226,065","224,000","3,721,028"
,동구,"11,487,468",0,0,0,"11,487,468","4,508,608","163,791","283,456","5,810,018","245,145","476,450"
,북구,"13,797,338",0,0,0,"13,797,338","3,955,756","256,480","378,000","6,894,635","66,900","2,245,567"
,울주군,"18,181,443",0,0,0,"18,181,443","5,719,094","7,230","84,910","9,684,757","71,906","2,613,546"
세종,소계,"36,260,724","720,338",0,"720,338","35,540,386","4,450,964","546,558","756,892","3,767,056","16,545,480","9,473,436"
,세종시,"36,260,724","720,338",0,"720,338","35,540,386","4,450,964","546,558","756,892","3,767,056","16,545,480","9,473,436"
경기,소계,"1,111,862,697","3,779,195","811,428","2,967,767","1,108,083,502","120,633,940","11,848,199","10,702,900","713,348,628","181,325,571","70,224,264"
,수원시,"89,557,517",0,0,0,"89,557,517","884,457",0,0,"56,918,721","31,754,339",0
,고양시,"58,906,517",0,0,0,"58,906,517",0,0,0,"35,468,472","23,438,045",0
,성남시,"78,740,040",0,0,0,"78,740,040",0,0,0,"76,640,945",0,"2,099,095"
,용인시,"75,763,629",0,0,0,"75,763,629",0,0,0,"75,763,629",0,0
,부천시,"85,539,671","2,028,032",0,"2,028,032","83,511,639","4,911,245","522,296","1,229,417","63,488,260","4,530,311","8,830,110"
,안산시,"66,401,078",0,0,0,"66,401,078","13,672,113","657,440","910,927","32,596,000","16,894,821","1,669,777"
,남양주시,"55,110,037",0,0,0,"55,110,037",0,0,0,"42,522,211","12,587,826",0
