1. 생활폐기물 관리 구역 현황,,,,,,,,,,,,,,,,,
나. 시·군·구 생활폐기물 관리구역 현황,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
시도,시군구,전체행정구역,,,,생활폐기물 관리구역,,,,생활폐기물 관리제외지역,,,,관리제외지역 비율(%),,,
,,면적(㎢),인구(명),동(읍·면)수(개소),세대수(가구),면적(㎢),인구(명),동(읍·면)수(개소),세대수(가구),면적(㎢),인구(명),동(읍·면)수(개소),세대수(가구),면적비,인구비,동수비,세대수비
,영광군,474.96,"54,773",11,"26,687",462.95,"54,157",10,"26,279",12.01,616,1,408,2.5,1.1,9.1,1.5
,장성군,518.40,"46,836",11,"22,850",518.40,"46,836",11,"22,850",0.00,0,0,0,0.0,0.0,0.0,0.0
,완도군,396.76,"52,858",12,"25,872",366.42,"51,267",12,"24,808",30.34,"1,591",0,"1,064",7.6,3.0,0.0,4.1
,진도군,440.10,"32,232",7,"16,102",435.82,"31,916",7,"15,918",4.28,316,0,184,1.0,1.0,0.0,1.1
,신안군,655.60,"41,102",14,"21,736",547.87,"36,854",14,"18,934",107.73,"4,248",0,"2,802",16.4,10.3,0.0,12.9
경북,소계,"19,033.34","2,719,702",332,"1,227,548","18,962.70","2,719,509",332,"1,227,447",70.64,193,0,101,0.4,0.0,0.0,0.0
,포항시,"1,130.08","513,104",29,"220,328","1,130.08","513,104",29,"220,328",0.00,0,0,0,0.0,0.0,0.0,0.0
,경주시,"1,324.86","267,196",23,"118,542","1,324.86","267,196",23,"118,542",0.00,0,0,0,0.0,0.0,0.0,0.0
,김천시,"1,009.80","143,620",22,"65,273","1,009.80","143,620",22,"65,273",0.00,0,0,0,0.0,0.0,0.0,0.0
,안동시,"1,522.10","161,533",24,"74,827","1,522.10","161,533",24,"74,827",0.00,0,0,0,0.0,0.0,0.0,0.0
,구미시,615.35,"420,468",27,"176,015",615.35,"420,468",27,"176,015",0.00,0,0,0,0.0,0.0,0.0,0.0
,영주시,670.09,"106,170",19,"49,063",670.09,"106,170",19,"49,063",0.00,0,0,0,0.0,0.0,0.0,0.0
,영천시,919.21,"105,719",16,"51,439",919.21,"105,719",16,"51,439",0.00,0,0,0,0.0,0.0,0.0,0.0
,상주시,"1,254.64","101,678",24,"48,796","1,254.64","101,678",24,"48,796",0.00,0,0,0,0.0,0.0,0.0,0.0
,문경시,911.90,"72,924",14,"35,587",911.90,"72,924",14,"35,587",0.00,0,0,0,0.0,0.0,0.0,0.0
,경산시,411.76,"274,898",15,"115,537",411.76,"274,898",15,"115,537",0.00,0,0,0,0.0,0.0,0.0,0.0
,군위군,614.32,"24,381",8,"12,938",614.32,"24,381",8,"12,938",0.00,0,0,0,0.0,0.0,0.0,0.0
,의성군,"1,174.73","53,237",18,"28,212","1,174.73","53,237",18,"28,212",0.00,0,0,0,0.0,0.0,0.0,0.0
,청송군,846.12,"25,623",8,"13,862",846.12,"25,623",8,"13,862",0.00,0,0,0,0.0,0.0,0.0,0.0
,영양군,815.75,"17,198",6,"8,942",815.75,"17,198",6,"8,942",0.00,0,0,0,0.0,0.0,0.0,0.0
,영덕군,741.22,"38,358",9,"20,085",741.22,"38,358",9,"20,085",0.00,0,0,0,0.0,0.0,0.0,0.0
,청도군,693.81,"43,952",9,"22,473",693.81,"43,952",9,"22,473",0.00,0,0,0,0.0,0.0,0.0,0.0
,고령군,384.06,"34,122",8,"16,227",384.06,"34,122",8,"16,227",0.00,0,0,0,0.0,0.0,0.0,0.0
,성주군,616.11,"45,713",10,"22,915",616.11,"45,713",10,"22,915",0.00,0,0,0,0.0,0.0,0.0,0.0
,칠곡군,450.94,"121,085",8,"52,659",450.94,"121,085",8,"52,659",0.00,0,0,0,0.0,0.0,0.0,0.0
,예천군,661.48,"55,664",12,"26,453",661.48,"55,664",12,"26,453",0.00,0,0,0,0.0,0.0,0.0,0.0
,봉화군,"1,202.03","32,464",10,"16,705","1,202.03","32,464",10,"16,705",0.00,0,0,0,0.0,0.0,0.0,0.0
,울진군,990.04,"50,810",10,"25,244",990.04,"50,810",10,"25,244",0.00,0,0,0,0.0,0.0,0.0,0.0
,울릉군,72.94,"9,785",3,"5,426",2.30,"9,592",3,"5,325",70.64,193,0,101,96.8,2.0,0.0,1.9
경남,소계,"10,540.39","3,438,081",308,"1,450,822","10,483.66","3,434,980",308,"1,449,042",56.73,"3,101",0,"1,780",0.5,0.1,0.0,0.1
,창원시,748.04,"1,059,813",58,"431,382",747.19,"1,059,619",58,"431,275",0.85,194,0,107,0.1,0.0,0.0,0.0
,진주시,712.86,"352,553",30,"149,078",712.86,"352,553",30,"149,078",0.00,0,0,0,0.0,0.0,0.0,0.0
,통영시,239.86,"135,366",15,"59,423",204.63,"132,869",15,"57,918",35.23,"2,497",0,"1,505",14.7,1.8,0.0,2.5
,사천시,398.68,"115,342",14,"52,503",398.68,"115,342",14,"52,503",0.00,0,0,0,0.0,0.0,0.0,0.0
,김해시,463.45,"561,468",19,"217,228",463.45,"561,468",19,"217,228",0.00,0,0,0,0.0,0.0,0.0,0.0
,밀양시,798.67,"108,422",16,"51,541",798.67,"108,422",16,"51,541",0.00,0,0,0,0.0,0.0,0.0,0.0
,거제시,403.23,"256,578",18,"101,969",402.05,"256,414",18,"101,868",1.18,164,0,101,0.3,0.1,0.0,0.1
,양산시,485.60,"357,078",13,"145,297",485.60,"357,078",13,"145,297",0.00,0,0,0,0.0,0.0,0.0,0.0
,의령군,482.91,"27,933",13,"14,577",464.72,"27,815",13,"14,577",18.19,118,0,0,3.8,0.4,0.0,0.0
,함안군,416.60,"69,198",10,"30,910",416.60,"69,198",10,"30,910",0.00,0,0,0,0.0,0.0,0.0,0.0
,창녕군,532.83,"65,120",14,"31,504",532.83,"65,120",14,"31,504",0.00,0,0,0,0.0,0.0,0.0,0.0
,고성군,517.96,"53,532",14,"25,882",517.96,"53,532",14,"25,882",0.00,0,0,0,0.0,0.0,0.0,0.0
,남해군,357.55,"44,483",10,"22,612",356.27,"44,355",10,"22,545",1.28,128,0,67,0.4,0.3,0.0,0.3
,하동군,675.24,"47,099",13,"23,738",675.24,"47,099",13,"23,738",0.00,0,0,0,0.0,0.0,0.0,0.0
,산청군,794.60,"36,025",11,"19,040",794.60,"36,025",11,"19,040",0.00,0,0,0,0.0,0.0,0.0,0.0
,함양군,725.49,"40,141",11,"20,427",725.49,"40,141",11,"20,427",0.00,0,0,0,0.0,0.0,0.0,0.0
,거창군,803.31,"62,726",12,"29,538",803.31,"62,726",12,"29,538",0.00,0,0,0,0.0,0.0,0.0,0.0
,합천군,983.51,"45,204",17,"24,173",983.51,"45,204",17,"24,173",0.00,0,0,0,0.0,0.0,0.0,0.0
제주,소계,"1,850.23","696,657",43,"293,155","1,850.23","696,657",43,"293,155",0.00,0,0,0,0.0,0.0,0.0,0.0
,제주시,978.67,"505,950",26,"209,439",978.67,"505,950",26,"209,439",0.00,0,0,0,0.0,0.0,0.0,0.0
,서귀포시,871.56,"190,707",17,"83,716",871.56,"190,707",17,"83,716",0.00,0,0,0,0.0,0.0,0.0,0.0
