1. 생활폐기물 관리 구역 현황,,,,,,,,,,,,,,,,,
나. 시·군·구 생활폐기물 관리구역 현황,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
시도,시군구,전체행정구역,,,,생활폐기물 관리구역,,,,생활폐기물 관리제외지역,,,,관리제외지역 비율(%),,,
,,면적(㎢),인구(명),동(읍·면)수(개소),세대수(가구),면적(㎢),인구(명),동(읍·면)수(개소),세대수(가구),면적(㎢),인구(명),동(읍·면)수(개소),세대수(가구),면적비,인구비,동수비,세대수비
,중구,7.06,"78,219",12,"38,418",7.06,"78,219",12,"38,418",0.00,0,0,0,0.0,0.0,0.0,0.0
,동구,182.14,"347,376",20,"152,545",182.14,"347,376",20,"152,545",0.00,0,0,0,0.0,0.0,0.0,0.0
,서구,17.33,"177,758",17,"82,733",17.33,"177,758",17,"82,733",0.00,0,0,0,0.0,0.0,0.0,0.0
,남구,17.43,"149,660",13,"74,588",17.43,"149,660",13,"74,588",0.00,0,0,0,0.0,0.0,0.0,0.0
,북구,93.98,"442,943",23,"180,115",93.98,"442,943",23,"180,115",0.00,0,0,0,0.0,0.0,0.0,0.0
,수성구,76.53,"430,334",23,"167,040",76.53,"430,334",23,"167,040",0.00,0,0,0,0.0,0.0,0.0,0.0
,달서구,62.34,"579,352",22,"231,978",62.34,"579,352",22,"231,978",0.00,0,0,0,0.0,0.0,0.0,0.0
,달성군,426.68,"262,580",9,"103,834",426.68,"262,580",9,"103,834",0.00,0,0,0,0.0,0.0,0.0,0.0
인천,소계,"1,063.27","3,029,285",154,"1,238,641","1,045.99","3,028,436",154,"1,238,134",17.28,849,0,507,1.6,0.0,0.0,0.0
,중구,140.29,"139,385",12,"65,002",130.00,"138,716",12,"64,607",10.29,669,0,395,7.3,0.5,0.0,0.6
,동구,7.19,"65,362",11,"28,739",7.19,"65,362",11,"28,739",0.00,0,0,0,0.0,0.0,0.0,0.0
,미추홀구,24.84,"418,494",21,"184,872",24.84,"418,494",21,"184,872",0.00,0,0,0,0.0,0.0,0.0,0.0
,연수구,54.95,"379,727",14,"140,700",54.95,"379,727",14,"140,700",0.00,0,0,0,0.0,0.0,0.0,0.0
,남동구,57.02,"545,131",20,"221,455",57.02,"545,131",20,"221,455",0.00,0,0,0,0.0,0.0,0.0,0.0
,부평구,32.01,"526,126",22,"211,851",32.01,"526,126",22,"211,851",0.00,0,0,0,0.0,0.0,0.0,0.0
,계양구,45.57,"306,817",12,"123,283",45.57,"306,817",12,"123,283",0.00,0,0,0,0.0,0.0,0.0,0.0
,서구,117.09,"557,415",22,"217,887",117.09,"557,415",22,"217,887",0.00,0,0,0,0.0,0.0,0.0,0.0
,강화군,411.41,"70,037",13,"33,163",411.41,"70,037",13,"33,163",0.00,0,0,0,0.0,0.0,0.0,0.0
,옹진군,172.90,"20,791",7,"11,689",165.91,"20,611",7,"11,577",6.99,180,0,112,4.0,0.9,0.0,1.0
,경제청,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.0,0.0,0.0,0.0
광주,소계,501.14,"1,480,293",95,"616,485",501.14,"1,480,293",95,"616,485",0.00,0,0,0,0.0,0.0,0.0,0.0
,동구,49.31,"100,504",13,"47,885",49.31,"100,504",13,"47,885",0.00,0,0,0,0.0,0.0,0.0,0.0
,서구,47.75,"302,666",18,"128,783",47.75,"302,666",18,"128,783",0.00,0,0,0,0.0,0.0,0.0,0.0
,남구,61.02,"219,613",16,"92,233",61.02,"219,613",16,"92,233",0.00,0,0,0,0.0,0.0,0.0,0.0
,북구,120.28,"438,734",27,"187,015",120.28,"438,734",27,"187,015",0.00,0,0,0,0.0,0.0,0.0,0.0
,광산구,222.78,"418,776",21,"160,569",222.78,"418,776",21,"160,569",0.00,0,0,0,0.0,0.0,0.0,0.0
대전,소계,539.63,"1,493,979",79,"635,343",539.63,"1,493,979",79,"635,343",0.00,0,0,0,0.0,0.0,0.0,0.0
,동구,136.68,"232,012",16,"104,064",136.68,"232,012",16,"104,064",0.00,0,0,0,0.0,0.0,0.0,0.0
,중구,62.18,"242,006",17,"106,379",62.18,"242,006",17,"106,379",0.00,0,0,0,0.0,0.0,0.0,0.0
,서구,95.53,"485,026",23,"203,754",95.53,"485,026",23,"203,754",0.00,0,0,0,0.0,0.0,0.0,0.0
,유성구,176.53,"355,516",11,"145,305",176.53,"355,516",11,"145,305",0.00,0,0,0,0.0,0.0,0.0,0.0
,대덕구,68.71,"179,419",12,"75,841",68.71,"179,419",12,"75,841",0.00,0,0,0,0.0,0.0,0.0,0.0
울산,소계,"1,062.04","1,168,469",56,"468,659","1,062.04","1,168,469",56,"468,659",0.00,0,0,0,0.0,0.0,0.0,0.0
,중구,37.01,"225,644",13,"93,062",37.01,"225,644",13,"93,062",0.00,0,0,0,0.0,0.0,0.0,0.0
,남구,73.47,"328,932",14,"135,311",73.47,"328,932",14,"135,311",0.00,0,0,0,0.0,0.0,0.0,0.0
,동구,36.07,"163,106",9,"65,183",36.07,"163,106",9,"65,183",0.00,0,0,0,0.0,0.0,0.0,0.0
,북구,157.36,"220,323",8,"81,144",157.36,"220,323",8,"81,144",0.00,0,0,0,0.0,0.0,0.0,0.0
,울주군,758.13,"230,464",12,"93,959",758.13,"230,464",12,"93,959",0.00,0,0,0,0.0,0.0,0.0,0.0
세종,소계,464.95,"346,275",19,"135,408",464.95,"346,275",19,"135,408",0.00,0,0,0,0.0,0.0,0.0,0.0
,세종시,464.95,"346,275",19,"135,408",464.95,"346,275",19,"135,408",0.00,0,0,0,0.0,0.0,0.0,0.0
경기,소계,"10,192.52","13,653,984",543,"5,468,920","10,192.52","13,653,984",543,"5,468,920",0.00,0,0,0,0.0,0.0,0.0,0.0
,수원시,121.09,"1,235,022",44,"498,836",121.09,"1,235,022",44,"498,836",0.00,0,0,0,0.0,0.0,0.0,0.0
,고양시,268.08,"1,078,859",39,"434,028",268.08,"1,078,859",39,"434,028",0.00,0,0,0,0.0,0.0,0.0,0.0
,성남시,141.64,"960,342",50,"400,460",141.64,"960,342",50,"400,460",0.00,0,0,0,0.0,0.0,0.0,0.0
