시도,시군구,면적(㎢),인구(명),동(읍·면)수(개소)
전북,무주군,631.76,"24,536",6
전북,장수군,533.2,"22,818",7
전북,임실군,597.22,"29,244",12
전북,순창군,495.79,"28,777",11
전북,고창군,607.48,"56,467",14
전북,부안군,493.18,"54,150",13
전남,소계,"12,345.20","1,903,383",297
전남,목포시,51.62,"233,175",23
전남,여수시,512.08,"287,479",27
전남,순천시,911.06,"281,722",24
전남,나주시,608.4,"117,445",20
전남,광양시,463.09,"158,437",12
전남,담양군,455.09,"47,533",12
전남,곡성군,547.47,"29,376",11
전남,구례군,443.24,"26,784",8
전남,고흥군,807.37,"65,972",16
전남,보성군,664.01,"41,908",12
전남,화순군,787.01,"63,646",13
전남,장흥군,622.34,"39,155",10
전남,강진군,500.92,"35,742",11
전남,해남군,"1,031.31","71,806",14
전남,영암군,612.56,"59,109",11
전남,무안군,449.71,"82,733",9
전남,함평군,392.1,"33,560",9
전남,영광군,474.96,"54,773",11
전남,장성군,518.4,"46,836",11
전남,완도군,396.76,"52,858",12
전남,진도군,440.1,"32,232",7
전남,신안군,655.6,"41,102",14
경북,소계,"19,033.34","2,719,702",332
경북,포항시,"1,130.08","513,104",29
경북,경주시,"1,324.86","267,196",23
경북,김천시,"1,009.80","143,620",22
경북,안동시,"1,522.10","161,533",24
경북,구미시,615.35,"420,468",27
경북,영주시,670.09,"106,170",19
경북,영천시,919.21,"105,719",16
경북,상주시,"1,254.64","101,678",24
경북,문경시,911.9,"72,924",14
경북,경산시,411.76,"274,898",15
경북,군위군,614.32,"24,381",8
경북,의성군,"1,174.73","53,237",18
경북,청송군,846.12,"25,623",8
경북,영양군,815.75,"17,198",6
경북,영덕군,741.22,"38,358",9
경북,청도군,693.81,"43,952",9
경북,고령군,384.06,"34,122",8
경북,성주군,616.11,"45,713",10
경북,칠곡군,450.94,"121,085",8
경북,예천군,661.48,"55,664",12
경북,봉화군,"1,202.03","32,464",10
경북,울진군,990.04,"50,810",10
경북,울릉군,72.94,"9,785",3
경남,소계,"10,540.39","3,438,081",308
경남,창원시,748.04,"1,059,813",58
경남,진주시,712.86,"352,553",30
경남,통영시,239.86,"135,366",15
경남,사천시,398.68,"115,342",14
경남,김해시,463.45,"561,468",19
경남,밀양시,798.67,"108,422",16
경남,거제시,403.23,"256,578",18
경남,양산시,485.6,"357,078",13
경남,의령군,482.91,"27,933",13
경남,함안군,416.6,"69,198",10
경남,창녕군,532.83,"65,120",14
경남,고성군,517.96,"53,532",14
경남,남해군,357.55,"44,483",10
경남,하동군,675.24,"47,099",13
경남,산청군,794.6,"36,025",11
경남,함양군,725.49,"40,141",11
경남,거창군,803.31,"62,726",12
경남,합천군,983.51,"45,204",17
제주,소계,"1,850.23","696,657",43
제주,제주시,978.67,"505,950",26
제주,서귀포시,871.56,"190,707",17
